region,Year,Gender,Age_Group,IM,outcome,Condition_Alcohol,Count,Total_Days,Acute_Days,ALC_Days,Cost,AAF_Total,AAF_Sensitivity,AA_Count,AA_Total_Days,AA_Acute_Days,AA_ALC_Days,AA_Cost
AB,2010,Male,35-64,(8).(6),Morbidity,Other unintentional injuries,1595,11238,10633,605,18140253.12,0.250449,0.250449,399.466155,2814.545862,2663.024217,151.521645,4543208.253
AB,2010,Male,35-64,(9).(1),Morbidity,Intentional self-poisoning by substances other than alcohol,295,3370,3331,39,3381330.558,0.295692,0.295692,87.22914,996.48204,984.950052,11.531988,999832.3955
AB,2010,Male,35-64,(9).(2).(1),Morbidity,Intentional self-poisoning by alcohol,12,145,145,0,109999.7156,1,1,12,145,145,0,109999.7156
AB,2010,Male,35-64,(9).(2).(2),Morbidity,Intentional self-poisoning by NB alcohol,4,9,9,0,26441.6316,1,1,4,9,9,0,26441.6316
AB,2010,Male,35-64,(9).(3),Morbidity,Other intentional self-harm,71,1749,1552,197,1889184.335,0.295692,0.295692,20.994132,517.165308,458.913984,58.251324,558616.6944
AB,2010,Male,35-64,(9).(4),Morbidity,Assault / homicide,424,4539,3320,1219,6681330.35,0.295692,0.295692,125.373408,1342.145988,981.69744,360.448548,1975615.934
AB,2010,Male,35-64,(9).(5),Morbidity,Other intentional injury,12,89,89,0,135868.9908,0.295692,0.295692,3.548304,26.316588,26.316588,0,40175.37363
AB,2010,Male,35-64,(A).(1),Morbidity,Complication of pregnancy by maternal use of alcohol,0,0,0,0,0,1,1,0,0,0,0,0
AB,2010,Male,35-64,(A).(2),Morbidity,Low birth weight,0,0,0,0,0,1,1,0,0,0,0,0
AB,2010,Male,35-64,(A).(3),Morbidity,Fetal alcohol syndrome,0,0,0,0,0,1,1,0,0,0,0,0
AB,2010,Male,65+,(1).(1),Morbidity,Tuberculosis,8,270,261,9,209214.8164,0.445317,0.445317,3.562536,120.23559,116.227737,4.007853,93166.91439
AB,2010,Male,65+,(1).(2),Morbidity,HIV,4,125,125,0,212980.0972,0.048722,0.048722,0.194888,6.09025,6.09025,0,10376.8163
AB,2010,Male,65+,(1).(3),Morbidity,Lower respiratory tract infections,1269,12573,11353,1220,12887196.98,0.101404,0.101404,128.681676,1274.952492,1151.239612,123.71288,1306813.322
AB,2010,Male,65+,(2).(1),Morbidity,Oral cavity and pharynx cancer,52,974,974,0,1899651.554,0.524721,0.524721,27.285492,511.078254,511.078254,0,996787.0629
AB,2010,Male,65+,(2).(2),Morbidity,Oesaphageal cancer,75,1764,1541,223,2454881.666,0.528381,0.528381,39.628575,932.064084,814.235121,117.828963,1297112.83
AB,2010,Male,65+,(2).(3),Morbidity,Colorectal cancer,630,8893,8519,374,11982159.6,0.302443,0.302443,190.53909,2689.625599,2576.511917,113.113682,3623920.297
AB,2010,Male,65+,(2).(4),Morbidity,Liver cancer,70,650,628,22,779181.4744,0.215811,0.215753,15.10677,140.27715,135.529308,4.747842,168155.9332
AB,2010,Male,65+,(2).(5),Morbidity,Pancreatic cancer,101,1582,1547,35,1888640.679,0.139614,0.139614,14.101014,220.869348,215.982858,4.88649,263680.6798
AB,2010,Male,65+,(2).(6),Morbidity,Laryngeal cancer,27,497,491,6,865161.068,0.319706,0.319706,8.632062,158.893882,156.975646,1.918236,276597.1844
AB,2010,Male,65+,(2).(7),Morbidity,Breast cancer,6,24,24,0,31865.7076,0,0,0,0,0,0,0
AB,2010,Male,65+,(3).(1),Morbidity,Diabetes,760,14175,11853,2322,14062996.22,0.051083,0.051038,38.82308,724.101525,605.486799,118.614726,718380.0361
AB,2010,Male,65+,(3).(2),Morbidity,Alcohol-induced pseudo-Cushing's syndrome,0,0,0,0,0,1,1,0,0,0,0,0
AB,2010,Male,65+,(4).(1),Morbidity,Alcoholic psychoses,154,4576,3583,993,3169702.02,1,1,154,4576,3583,993,3169702.02
AB,2010,Male,65+,(4).(2),Morbidity,Alcohol abuse,24,230,230,0,158442.4383,1,1,24,230,230,0,158442.4383
AB,2010,Male,65+,(4).(3),Morbidity,Alcohol dependence,40,505,444,61,386584.3688,1,1,40,505,444,61,386584.3688
AB,2010,Male,65+,(4).(4),Morbidity,Degeneration of nervous system due to alcohol,2,47,45,2,36110.766,1,1,2,47,45,2,36110.766
AB,2010,Male,65+,(4).(5),Morbidity,Epilepsy,83,1113,962,151,1068901.54,0.287595,0.287595,23.870385,320.093235,276.66639,43.426845,307410.7385
AB,2010,Male,65+,(4).(6),Morbidity,Alcoholic polyneuropathy,0,0,0,0,0,1,1,0,0,0,0,0
AB,2010,Male,65+,(4).(7),Morbidity,Alcoholic myopathy,0,0,0,0,0,1,1,0,0,0,0,0
AB,2010,Male,65+,(5).(1),Morbidity,Hypertension,121,671,596,75,741145.2001,0.199158,0.199158,24.098118,133.635018,118.698168,14.93685,147604.9958
AB,2010,Male,65+,(5).(2),Morbidity,Ischaemic heart disease,3413,25703,24275,1428,45779008.62,0.014534,-0.16224,49.604542,373.567402,352.81285,20.754552,665352.1113
AB,2010,Male,65+,(5).(3),Morbidity,Alcoholic cardiomypathy,4,57,57,0,119847.934,1,1,4,57,57,0,119847.934
AB,2010,Male,65+,(5).(4),Morbidity,Atrial fibrillation and cardiac arrhythmia,1049,7354,6782,572,10843275.05,0.125697,0.125697,131.856153,924.375738,852.477054,71.898684,1362967.143
AB,2010,Male,65+,(5).(5),Morbidity,Haemorrhagic stroke,250,3528,3118,410,4835734.079,0.220804,0.220804,55.201,778.996512,688.466872,90.52964,1067749.427
AB,2010,Male,65+,(5).(6),Morbidity,Ischaemic stroke,1091,20021,15189,4832,20397207.23,-0.00689,-0.00689,-7.51699,-137.94469,-104.65221,-33.29248,-140536.7578
AB,2010,Male,65+,(5).(7),Morbidity,Oesophageal varices,4,39,39,0,23428.3968,0.545147,0.545147,2.180588,21.260733,21.260733,0,12771.92023
AB,2010,Male,65+,(6).(1),Morbidity,Alcoholic gastritis,2,3,3,0,7970.6976,1,1,2,3,3,0,7970.6976
AB,2010,Male,65+,(6).(2),Morbidity,Liver cirrhosis,115,1801,1716,85,2126679.428,0.545147,0.545147,62.691905,981.809747,935.472252,46.337495,1159352.91
AB,2010,Male,65+,(6).(3),Morbidity,Acute pancreatitis,224,2062,1994,68,2245556.287,0.412983,0.412983,92.508192,851.570946,823.488102,28.082844,927376.5722
AB,2010,Male,65+,(6).(4),Morbidity,Chronic pancreatitis,9,65,65,0,63533.8328,0.51611,0.51611,4.64499,33.54715,33.54715,0,32790.44645
AB,2010,Male,65+,(6).(5),Morbidity,Alcohol-induced pancreatitis,22,371,228,143,348003.4007,1,1,22,371,228,143,348003.4007
AB,2010,Male,65+,(7).(1),Morbidity,Motor vehicle collisions,183,3193,2680,513,4072851.49,0.173741847,0.173741847,31.794758,554.7577175,465.62815,89.12956751,707624.7404
AB,2010,Male,65+,(8).(1),Morbidity,Falls,2393,52209,40492,11717,51241765.43,0.178758,0.178758,427.767894,9332.776422,7238.268936,2094.507486,9159875.504
AB,2010,Male,65+,(8).(2),Morbidity,Drowning,2,18,18,0,10453.684,0.178758,0.178758,0.357516,3.217644,3.217644,0,1868.679644
AB,2010,Male,65+,(8).(3),Morbidity,Fires,10,1043,340,703,911893.288,0.178758,0.178758,1.78758,186.444594,60.77772,125.666874,163008.2204
AB,2010,Male,65+,(8).(4),Morbidity,Accidental poisoning by substances other than alcohol,123,1432,1293,139,1640939.648,0.178758,0.178758,21.987234,255.981456,231.134094,24.847362,293331.0896
AB,2010,Male,65+,(8).(5).(1),Morbidity,Accidental poisoning by alcohol,3,14,14,0,24919.9,1,1,3,14,14,0,24919.9
AB,2010,Male,65+,(8).(5).(2),Morbidity,Accidental poisoning by NB alcohol,0,0,0,0,0,1,1,0,0,0,0,0
AB,2010,Male,65+,(8).(6),Morbidity,Other unintentional injuries,393,6426,5090,1336,7964363.531,0.178758,0.178758,70.251894,1148.698908,909.87822,238.820688,1423693.696
AB,2010,Male,65+,(9).(1),Morbidity,Intentional self-poisoning by substances other than alcohol,33,419,419,0,367099.1344,0.211628,0.211628,6.983724,88.672132,88.672132,0,77688.45561
AB,2010,Male,65+,(9).(2).(1),Morbidity,Intentional self-poisoning by alcohol,1,1,1,0,2357.254,1,1,1,1,1,0,2357.254
AB,2010,Male,65+,(9).(2).(2),Morbidity,Intentional self-poisoning by NB alcohol,0,0,0,0,0,1,1,0,0,0,0,0
AB,2010,Male,65+,(9).(3),Morbidity,Other intentional self-harm,13,436,436,0,384910.6876,0.211628,0.211628,2.751164,92.269808,92.269808,0,81457.879
AB,2010,Male,65+,(9).(4),Morbidity,Assault / homicide,18,524,338,186,717217.862,0.211628,0.211628,3.809304,110.893072,71.530264,39.362808,151783.3817
AB,2010,Male,65+,(9).(5),Morbidity,Other intentional injury,0,0,0,0,0,0.211628,0.211628,0,0,0,0,0
AB,2010,Male,65+,(A).(1),Morbidity,Complication of pregnancy by maternal use of alcohol,0,0,0,0,0,1,1,0,0,0,0,0
AB,2010,Male,65+,(A).(2),Morbidity,Low birth weight,0,0,0,0,0,1,1,0,0,0,0,0
AB,2010,Male,65+,(A).(3),Morbidity,Fetal alcohol syndrome,0,0,0,0,0,1,1,0,0,0,0,0
AB,2011,Female,15-34,(1).(1),Morbidity,Tuberculosis,11,169,169,0,156809.5244,0.286592,0.286592,3.152512,48.434048,48.434048,0,44940.35522
AB,2011,Female,15-34,(1).(2),Morbidity,HIV,22,200,200,0,267152.124,0.033647,0.033647,0.740234,6.7294,6.7294,0,8988.867516
AB,2011,Female,15-34,(1).(3),Morbidity,Lower respiratory tract infections,199,777,777,0,1345325.234,0.065699,0.065699,13.074101,51.048123,51.048123,0,88386.52255
AB,2011,Female,15-34,(2).(1),Morbidity,Oral cavity and pharynx cancer,5,34,34,0,119469.2728,0.36549,0.36549,1.82745,12.42666,12.42666,0,43664.82452
AB,2011,Female,15-34,(2).(2),Morbidity,Oesaphageal cancer,0,0,0,0,0,0.405224,0.405224,0,0,0,0,0
AB,2011,Female,15-34,(2).(3),Morbidity,Colorectal cancer,16,111,111,0,203941.7268,0.045521,0.045521,0.728336,5.052831,5.052831,0,9283.631346
AB,2011,Female,15-34,(2).(4),Morbidity,Liver cancer,1,11,11,0,13740.1888,0.188055,0.188029,0.188055,2.068605,2.068605,0,2583.911205
AB,2011,Female,15-34,(2).(5),Morbidity,Pancreatic cancer,1,5,5,0,12880.0088,0.03745,0.03745,0.03745,0.18725,0.18725,0,482.3563296
AB,2011,Female,15-34,(2).(6),Morbidity,Laryngeal cancer,0,0,0,0,0,0.213176,0.213176,0,0,0,0,0
AB,2011,Female,15-34,(2).(7),Morbidity,Breast cancer,41,64,64,0,234154.7716,0.15087,0.15087,6.18567,9.65568,9.65568,0,35326.93039
AB,2011,Female,15-34,(3).(1),Morbidity,Diabetes,45,175,175,0,247742.988,-0.19502,-0.19502,-8.7759,-34.1285,-34.1285,0,-48314.83752
AB,2011,Female,15-34,(4).(1),Morbidity,Alcoholic psychoses,113,433,433,0,462577.8974,1,1,113,433,433,0,462577.8974
AB,2011,Female,15-34,(4).(2),Morbidity,Alcohol abuse,31,207,207,0,186772.7828,1,1,31,207,207,0,186772.7828
AB,2011,Female,15-34,(4).(3),Morbidity,Alcohol dependence,53,232,232,0,239849.3806,1,1,53,232,232,0,239849.3806
AB,2011,Female,15-34,(4).(4),Morbidity,Degeneration of nervous system due to alcohol,0,0,0,0,0,1,1,0,0,0,0,0
AB,2011,Female,15-34,(4).(5),Morbidity,Epilepsy,136,727,713,14,961166.4201,0.183686,0.183686,24.981296,133.539722,130.968118,2.571604,176552.815
AB,2011,Female,15-34,(4).(6),Morbidity,Alcoholic polyneuropathy,0,0,0,0,0,1,1,0,0,0,0,0
AB,2011,Female,15-34,(4).(7),Morbidity,Alcoholic myopathy,0,0,0,0,0,1,1,0,0,0,0,0
AB,2011,Female,15-34,(5).(1),Morbidity,Hypertension,12,51,51,0,53775.6496,0.11104,0.11104,1.33248,5.66304,5.66304,0,5971.248132
AB,2011,Female,15-34,(5).(2),Morbidity,Ischaemic heart disease,9,67,67,0,83467.704,-0.11055,-0.11055,-0.99495,-7.40685,-7.40685,0,-9227.354677
AB,2011,Female,15-34,(5).(3),Morbidity,Alcoholic cardiomypathy,0,0,0,0,0,1,1,0,0,0,0,0
AB,2011,Female,15-34,(5).(4),Morbidity,Atrial fibrillation and cardiac arrhythmia,69,129,129,0,588561.8596,0.080983,0.080983,5.587827,10.446807,10.446807,0,47663.50508
AB,2011,Female,15-34,(5).(5),Morbidity,Haemorrhagic stroke,11,139,139,0,307841.0023,-0.07693,-0.07693,-0.84623,-10.69327,-10.69327,0,-23682.20831
AB,2011,Female,15-34,(5).(6),Morbidity,Ischaemic stroke,23,191,181,10,302830.6525,-0.0352,-0.0352,-0.8096,-6.7232,-6.3712,-0.352,-10659.63897
AB,2011,Female,15-34,(5).(7),Morbidity,Oesophageal varices,3,10,10,0,14204.8192,0.600073,0.600073,1.800219,6.00073,6.00073,0,8523.928472
AB,2011,Female,15-34,(6).(1),Morbidity,Alcoholic gastritis,15,33,33,0,50103.1132,1,1,15,33,33,0,50103.1132
AB,2011,Female,15-34,(6).(2),Morbidity,Liver cirrhosis,12,78,78,0,94446.0124,0.600073,0.600073,7.200876,46.805694,46.805694,0,56674.502
AB,2011,Female,15-34,(6).(3),Morbidity,Acute pancreatitis,209,989,989,0,1102553.541,0.17226,0.17226,36.00234,170.36514,170.36514,0,189925.873
AB,2011,Female,15-34,(6).(4),Morbidity,Chronic pancreatitis,17,70,70,0,84173.6288,0.343627,0.343627,5.841659,24.05389,24.05389,0,28924.33154
AB,2011,Female,15-34,(6).(5),Morbidity,Alcohol-induced pancreatitis,33,140,140,0,169396.2932,1,1,33,140,140,0,169396.2932
AB,2011,Female,15-34,(7).(1),Morbidity,Motor vehicle collisions,338,2456,2414,42,4956315.585,0.132890895,0.132890895,44.91712251,326.3800381,320.7986205,5.58141759,658649.214
AB,2011,Female,15-34,(8).(1),Morbidity,Falls,582,1973,1932,41,3815602.125,0.187313,0.187313,109.016166,369.568549,361.888716,7.679833,714711.8808
AB,2011,Female,15-34,(8).(2),Morbidity,Drowning,3,4,4,0,12471.6489,0.187313,0.187313,0.561939,0.749252,0.749252,0,2336.10197
AB,2011,Female,15-34,(8).(3),Morbidity,Fires,11,103,103,0,164268.7664,0.187313,0.187313,2.060443,19.293239,19.293239,0,30769.67544
AB,2011,Female,15-34,(8).(4),Morbidity,Accidental poisoning by substances other than alcohol,192,1086,1072,14,1937958.783,0.187313,0.187313,35.964096,203.421918,200.799536,2.622382,363004.8735
AB,2011,Female,15-34,(8).(5).(1),Morbidity,Accidental poisoning by alcohol,12,37,37,0,68777.654,1,1,12,37,37,0,68777.654
AB,2011,Female,15-34,(8).(5).(2),Morbidity,Accidental poisoning by NB alcohol,2,3,3,0,21635.3351,1,1,2,3,3,0,21635.3351
AB,2011,Female,15-34,(8).(6),Morbidity,Other unintentional injuries,414,2303,2115,188,4378457.24,0.187313,0.187313,77.547582,431.381839,396.166995,35.214844,820141.961
AB,2011,Female,15-34,(9).(1),Morbidity,Intentional self-poisoning by substances other than alcohol,393,1922,1922,0,2500085.931,0.234017,0.234017,91.968681,449.780674,449.780674,0,585062.6093
AB,2011,Female,15-34,(9).(2).(1),Morbidity,Intentional self-poisoning by alcohol,7,101,101,0,62286.6084,1,1,7,101,101,0,62286.6084
AB,2011,Female,15-34,(9).(2).(2),Morbidity,Intentional self-poisoning by NB alcohol,1,3,3,0,2457.52,1,1,1,3,3,0,2457.52
AB,2011,Female,15-34,(9).(3),Morbidity,Other intentional self-harm,58,595,595,0,632344.1616,0.234017,0.234017,13.572986,139.240115,139.240115,0,147979.2837
AB,2011,Female,15-34,(9).(4),Morbidity,Assault / homicide,112,1238,987,251,1586915.85,0.234017,0.234017,26.209904,289.713046,230.974779,58.738267,371365.2864
AB,2011,Female,15-34,(9).(5),Morbidity,Other intentional injury,0,0,0,0,0,0.234017,0.234017,0,0,0,0,0
AB,2011,Female,15-34,(A).(1),Morbidity,Complication of pregnancy by maternal use of alcohol,0,0,0,0,0,1,1,0,0,0,0,0
AB,2011,Female,15-34,(A).(2),Morbidity,Low birth weight,0,0,0,0,0,1,1,0,0,0,0,0
AB,2011,Female,15-34,(A).(3),Morbidity,Fetal alcohol syndrome,3,47,47,0,22441.8492,1,1,3,47,47,0,22441.8492
AB,2011,Female,35-64,(1).(1),Morbidity,Tuberculosis,13,218,218,0,245141.0408,0.249662,0.249662,3.245606,54.426316,54.426316,0,61202.40253
AB,2011,Female,35-64,(1).(2),Morbidity,HIV,59,1555,787,768,1863884.114,0.025916,0.025916,1.529044,40.29938,20.395892,19.903488,48304.42069
AB,2011,Female,35-64,(1).(3),Morbidity,Lower respiratory tract infections,823,5237,5225,12,7779896.409,0.058466,0.058466,48.117518,306.186442,305.48485,0.701592,454859.4234
AB,2011,Female,35-64,(2).(1),Morbidity,Oral cavity and pharynx cancer,28,557,557,0,935590.7412,0.330277,0.330277,9.247756,183.964289,183.964289,0,309004.1032
AB,2011,Female,35-64,(2).(2),Morbidity,Oesaphageal cancer,7,136,136,0,275735.7956,0.378813,0.378813,2.651691,51.518568,51.518568,0,104452.3039
AB,2011,Female,35-64,(2).(3),Morbidity,Colorectal cancer,307,2948,2948,0,4671700.351,0.043632,0.043632,13.395024,128.627136,128.627136,0,203835.6297
AB,2011,Female,35-64,(2).(4),Morbidity,Liver cancer,35,260,260,0,482402.1256,0.224581,0.224563,7.860335,58.39106,58.39106,0,108338.3518
AB,2011,Female,35-64,(2).(5),Morbidity,Pancreatic cancer,78,791,704,87,1251193.08,0.039525,0.039525,3.08295,31.264275,27.8256,3.438675,49453.4065
AB,2011,Female,35-64,(2).(6),Morbidity,Laryngeal cancer,6,101,101,0,94897.718,0.198068,0.198068,1.188408,20.004868,20.004868,0,18796.20121
AB,2011,Female,35-64,(2).(7),Morbidity,Breast cancer,1212,2806,2659,147,7745763.77,0.134614,0.134614,163.152168,377.726884,357.938626,19.788258,1042688.244
AB,2011,Female,35-64,(3).(1),Morbidity,Diabetes,442,4558,4284,274,5623947.345,-0.18568,-0.18568,-82.07056,-846.32944,-795.45312,-50.87632,-1044254.543
AB,2011,Female,35-64,(4).(1),Morbidity,Alcoholic psychoses,270,2482,2220,262,2086228.105,1,1,270,2482,2220,262,2086228.105
AB,2011,Female,35-64,(4).(2),Morbidity,Alcohol abuse,51,348,348,0,293943.6371,1,1,51,348,348,0,293943.6371
AB,2011,Female,35-64,(4).(3),Morbidity,Alcohol dependence,107,826,805,21,629799.2658,1,1,107,826,805,21,629799.2658
AB,2011,Female,35-64,(4).(4),Morbidity,Degeneration of nervous system due to alcohol,8,55,55,0,66595.6096,1,1,8,55,55,0,66595.6096
AB,2011,Female,35-64,(4).(5),Morbidity,Epilepsy,196,1261,1244,17,1610398.497,0.161424,0.161424,31.639104,203.555664,200.811456,2.744208,259956.967
AB,2011,Female,35-64,(4).(6),Morbidity,Alcoholic polyneuropathy,0,0,0,0,0,1,1,0,0,0,0,0
AB,2011,Female,35-64,(4).(7),Morbidity,Alcoholic myopathy,0,0,0,0,0,1,1,0,0,0,0,0
AB,2011,Female,35-64,(5).(1),Morbidity,Hypertension,117,482,482,0,639124.4344,0.094223,0.094223,11.024091,45.415486,45.415486,0,60220.22158
AB,2011,Female,35-64,(5).(2),Morbidity,Ischaemic heart disease,967,4766,4747,19,10116137.42,-0.1944,-0.1944,-187.9848,-926.5104,-922.8168,-3.6936,-1966577.115
AB,2011,Female,35-64,(5).(3),Morbidity,Alcoholic cardiomypathy,0,0,0,0,0,1,1,0,0,0,0,0
AB,2011,Female,35-64,(5).(4),Morbidity,Atrial fibrillation and cardiac arrhythmia,321,1183,1183,0,2435990.643,0.072526,0.072526,23.280846,85.798258,85.798258,0,176672.6573
AB,2011,Female,35-64,(5).(5),Morbidity,Haemorrhagic stroke,132,2452,2067,385,4614938.501,-0.09163,-0.09163,-12.09516,-224.67676,-189.39921,-35.27755,-422866.8148
AB,2011,Female,35-64,(5).(6),Morbidity,Ischaemic stroke,366,3480,3162,318,5320675.97,-0.06895,-0.06895,-25.2357,-239.946,-218.0199,-21.9261,-366860.6082
AB,2011,Female,35-64,(5).(7),Morbidity,Oesophageal varices,10,61,61,0,64540.0901,0.600472,0.600472,6.00472,36.628792,36.628792,0,38754.51698
AB,2011,Female,35-64,(6).(1),Morbidity,Alcoholic gastritis,17,60,60,0,65875.2611,1,1,17,60,60,0,65875.2611
AB,2011,Female,35-64,(6).(2),Morbidity,Liver cirrhosis,227,3461,3135,326,4715376.553,0.600472,0.600472,136.307144,2078.233592,1882.47972,195.753872,2831451.59
AB,2011,Female,35-64,(6).(3),Morbidity,Acute pancreatitis,435,2504,2504,0,3012743.719,0.165627,0.165627,72.047745,414.730008,414.730008,0,498991.704
AB,2011,Female,35-64,(6).(4),Morbidity,Chronic pancreatitis,68,561,561,0,661270.0989,0.341648,0.341648,23.232064,191.664528,191.664528,0,225921.6067
AB,2011,Female,35-64,(6).(5),Morbidity,Alcohol-induced pancreatitis,81,567,567,0,627496.5516,1,1,81,567,567,0,627496.5516
AB,2011,Female,35-64,(7).(1),Morbidity,Motor vehicle collisions,408,4139,4090,49,6212475.722,0.078996531,0.078996531,32.23058465,326.9666418,323.0958118,3.870830019,490764.0309
AB,2011,Female,35-64,(8).(1),Morbidity,Falls,2289,14538,13539,999,21218849.19,0.130705,0.130705,299.183745,1900.18929,1769.614995,130.574295,2773409.684
AB,2011,Female,35-64,(8).(2),Morbidity,Drowning,1,3,3,0,7800.416,0.130705,0.130705,0.130705,0.392115,0.392115,0,1019.553373
AB,2011,Female,35-64,(8).(3),Morbidity,Fires,18,143,143,0,305256.2512,0.130705,0.130705,2.35269,18.690815,18.690815,0,39898.51831
AB,2011,Female,35-64,(8).(4),Morbidity,Accidental poisoning by substances other than alcohol,342,2508,2446,62,3345722.826,0.130705,0.130705,44.70111,327.80814,319.70443,8.10371,437302.702
AB,2011,Female,35-64,(8).(5).(1),Morbidity,Accidental poisoning by alcohol,16,62,62,0,102350.416,1,1,16,62,62,0,102350.416
AB,2011,Female,35-64,(8).(5).(2),Morbidity,Accidental poisoning by NB alcohol,3,11,11,0,18452.2624,1,1,3,11,11,0,18452.2624
AB,2011,Female,35-64,(8).(6),Morbidity,Other unintentional injuries,606,4400,4287,113,7227536.729,0.130705,0.130705,79.20723,575.102,560.332335,14.769665,944675.1882
AB,2011,Female,35-64,(9).(1),Morbidity,Intentional self-poisoning by substances other than alcohol,402,3641,3628,13,3649725.549,0.161227,0.161227,64.813254,587.027507,584.931556,2.095951,588434.301
AB,2011,Female,35-64,(9).(2).(1),Morbidity,Intentional self-poisoning by alcohol,6,11,11,0,22199.714,1,1,6,11,11,0,22199.714
AB,2011,Female,35-64,(9).(2).(2),Morbidity,Intentional self-poisoning by NB alcohol,1,7,7,0,7710.6016,1,1,1,7,7,0,7710.6016
AB,2011,Female,35-64,(9).(3),Morbidity,Other intentional self-harm,36,599,599,0,637782.4727,0.161227,0.161227,5.804172,96.574973,96.574973,0,102827.7547
AB,2011,Female,35-64,(9).(4),Morbidity,Assault / homicide,110,1226,932,294,1596667.695,0.161227,0.161227,17.73497,197.664302,150.263564,47.400738,257425.9424
AB,2011,Female,35-64,(9).(5),Morbidity,Other intentional injury,1,3,3,0,4478.6976,0.161227,0.161227,0.161227,0.483681,0.483681,0,722.086978
AB,2011,Female,35-64,(A).(1),Morbidity,Complication of pregnancy by maternal use of alcohol,0,0,0,0,0,1,1,0,0,0,0,0
AB,2011,Female,35-64,(A).(2),Morbidity,Low birth weight,0,0,0,0,0,1,1,0,0,0,0,0
AB,2011,Female,35-64,(A).(3),Morbidity,Fetal alcohol syndrome,0,0,0,0,0,1,1,0,0,0,0,0
AB,2011,Female,65+,(1).(1),Morbidity,Tuberculosis,14,333,333,0,474481.048,0.150905,0.150905,2.11267,50.251365,50.251365,0,71601.56255
AB,2011,Female,65+,(1).(2),Morbidity,HIV,0,0,0,0,0,0.010257,0.010257,0,0,0,0,0
AB,2011,Female,65+,(1).(3),Morbidity,Lower respiratory tract infections,1479,15539,14630,909,16273478.71,0.035423,0.035423,52.390617,550.437997,518.23849,32.199507,576455.4362
AB,2011,Female,65+,(2).(1),Morbidity,Oral cavity and pharynx cancer,42,1022,952,70,1931189.642,0.226063,0.226063,9.494646,231.036386,215.211976,15.82441,436570.5241
AB,2011,Female,65+,(2).(2),Morbidity,Oesaphageal cancer,16,357,313,44,429110.6012,0.277659,0.277659,4.442544,99.124263,86.907267,12.216996,119146.4204
AB,2011,Female,65+,(2).(3),Morbidity,Colorectal cancer,503,7454,7250,204,10033004.97,0.033809,0.033809,17.005927,252.012286,245.11525,6.897036,339205.865
AB,2011,Female,65+,(2).(4),Morbidity,Liver cancer,45,517,481,36,582322.0084,0.271003,0.270996,12.195135,140.108551,130.352443,9.756108,157811.0112
AB,2011,Female,65+,(2).(5),Morbidity,Pancreatic cancer,114,1720,1659,61,2366871.255,0.038598,0.038598,4.400172,66.38856,64.034082,2.354478,91356.49669
AB,2011,Female,65+,(2).(6),Morbidity,Laryngeal cancer,2,565,272,293,702063.6064,0.14532,0.14532,0.29064,82.1058,39.52704,42.57876,102023.8833
AB,2011,Female,65+,(2).(7),Morbidity,Breast cancer,751,2347,2262,85,5151715.941,0.085597,0.085597,64.283347,200.896159,193.620414,7.275745,440971.4294
AB,2011,Female,65+,(3).(1),Morbidity,Diabetes,610,9955,8929,1026,10681740.03,-0.11067,-0.11067,-67.5087,-1101.71985,-988.17243,-113.54742,-1182148.169
AB,2011,Female,65+,(4).(1),Morbidity,Alcoholic psychoses,51,865,669,196,623721.108,1,1,51,865,669,196,623721.108
AB,2011,Female,65+,(4).(2),Morbidity,Alcohol abuse,5,89,89,0,47554.2496,1,1,5,89,89,0,47554.2496
AB,2011,Female,65+,(4).(3),Morbidity,Alcohol dependence,18,422,259,163,283522.8963,1,1,18,422,259,163,283522.8963
AB,2011,Female,65+,(4).(4),Morbidity,Degeneration of nervous system due to alcohol,1,3,3,0,25314.224,1,1,1,3,3,0,25314.224
AB,2011,Female,65+,(4).(5),Morbidity,Epilepsy,90,1330,867,463,1444049.431,0.097641,0.097641,8.78769,129.86253,84.654747,45.207783,140998.4305
AB,2011,Female,65+,(4).(6),Morbidity,Alcoholic polyneuropathy,0,0,0,0,0,1,1,0,0,0,0,0
AB,2011,Female,65+,(4).(7),Morbidity,Alcoholic myopathy,0,0,0,0,0,1,1,0,0,0,0,0
AB,2011,Female,65+,(5).(1),Morbidity,Hypertension,266,1773,1724,49,1925684.449,0.052991,0.052991,14.095606,93.953043,91.356484,2.596559,102043.9446
AB,2011,Female,65+,(5).(2),Morbidity,Ischaemic heart disease,1878,14287,13304,983,22083326.65,-0.19787,-0.19787,-371.59986,-2826.96869,-2632.46248,-194.50621,-4369627.844
AB,2011,Female,65+,(5).(3),Morbidity,Alcoholic cardiomypathy,0,0,0,0,0,1,1,0,0,0,0,0
AB,2011,Female,65+,(5).(4),Morbidity,Atrial fibrillation and cardiac arrhythmia,1114,9636,8134,1502,11563693.87,0.045385,0.045385,50.55889,437.32986,369.16159,68.16827,524818.2465
AB,2011,Female,65+,(5).(5),Morbidity,Haemorrhagic stroke,235,3786,3484,302,5036084.369,-0.05633,-0.05633,-13.23755,-213.26538,-196.25372,-17.01166,-283682.6325
AB,2011,Female,65+,(5).(6),Morbidity,Ischaemic stroke,1118,21509,17851,3658,22874872.58,-0.08163,-0.08163,-91.26234,-1755.77967,-1457.17713,-298.60254,-1867275.849
AB,2011,Female,65+,(5).(7),Morbidity,Oesophageal varices,3,87,87,0,86789.1724,0.562156,0.562156,1.686468,48.907572,48.907572,0,48789.054
